0,14.0277,-nan,6.54209,-nan
1,14.7115,0.683836,6.09736,0.44473
2,14.7041,0.394882,5.73589,0.443378
3,14.4013,0.411899,5.6707,0.320222
4,14.4158,0.319383,5.6394,0.25001
5,14.7308,0.408982,5.63418,0.204199
6,14.6594,0.352953,5.7082,0.187784
7,14.6873,0.306938,5.69263,0.16337
8,14.781,0.286458,5.66852,0.146082
9,14.9635,0.314521,5.57905,0.158355
10,15.0755,0.30577,5.52148,0.154376
11,15.0781,0.279141,5.46814,0.150681
12,15.0149,0.264439,5.46912,0.13861
13,14.989,0.246184,5.47863,0.12868
14,14.9868,0.229196,5.46993,0.12011
15,14.9532,0.217011,5.4844,0.11328
16,14.944,0.204052,5.51095,0.10967
17,14.8786,0.203214,5.51204,0.103403
18,14.8831,0.192274,5.53938,0.10156
19,14.8785,0.182465,5.55712,0.0979674
20,14.8945,0.174301,5.52993,0.0970713
21,14.8795,0.166873,5.50479,0.0959061
22,14.8816,0.159467,5.50572,0.0916461
23,14.8816,0.152678,5.50707,0.0877548
24,14.9175,0.150789,5.47047,0.0917816
25,14.8717,0.151936,5.48032,0.0887292
26,14.8491,0.147946,5.48577,0.0855531
27,14.8332,0.143444,5.4938,0.0828313
28,14.9015,0.15432,5.47841,0.081392
29,14.9354,0.152894,5.49375,0.0801149
30,14.8519,0.169796,5.51927,0.0815819
31,14.7837,0.177993,5.54083,0.0818794
32,14.7776,0.172623,5.53472,0.0795944
33,14.7901,0.167936,5.54712,0.0782086
34,14.8124,0.164582,5.53476,0.0769405
35,14.7917,0.161279,5.52733,0.0751411
36,14.8103,0.157959,5.51808,0.0736649
37,14.8305,0.155071,5.50684,0.072576
38,14.8293,0.151047,5.49365,0.0719119
39,14.8328,0.147264,5.50211,0.0705998
40,14.8403,0.143822,5.50383,0.0688779
41,14.8636,0.142279,5.49486,0.067814
42,14.8836,0.140364,5.49074,0.0663464
43,14.8768,0.137307,5.4978,0.0652043
44,14.8526,0.136386,5.49702,0.0637435
45,14.8519,0.13339,5.50548,0.0629133
46,14.869,0.131639,5.50838,0.0616284
47,14.9211,0.139013,5.49232,0.0624305
48,14.8978,0.13813,5.5043,0.0623055
49,14.8817,0.136292,5.50625,0.0610777
50,14.8905,0.13388,5.50222,0.0600038
51,14.8942,0.131333,5.5007,0.0588581
52,14.9293,0.133525,5.51031,0.0585309
53,14.9133,0.132001,5.5162,0.057738
54,14.9067,0.129746,5.51221,0.0568184
55,14.9122,0.127527,5.51701,0.0560001
56,14.9097,0.125295,5.51209,0.0552279
57,14.8866,0.125259,5.51136,0.0542722
58,14.884,0.123146,5.50165,0.0542222
59,14.8758,0.121352,5.49944,0.0533566
60,14.8797,0.119409,5.49735,0.0525163
61,14.8858,0.117626,5.50488,0.0522082
62,14.8963,0.116218,5.51001,0.0516287
63,14.8931,0.114431,5.52008,0.051804
64,14.8933,0.112657,5.51399,0.0513629
65,14.9024,0.111312,5.50764,0.0509759
66,14.9134,0.110184,5.5066,0.0502202
67,14.9068,0.10875,5.50646,0.0494763
68,14.9206,0.108048,5.49383,0.0503635
69,14.9183,0.106518,5.49986,0.0500035
70,14.9114,0.105238,5.50218,0.0493491
71,14.8899,0.10597,5.51531,0.0503993
72,14.8988,0.104892,5.51258,0.0497793
73,14.9185,0.10531,5.51481,0.0491528
74,14.9117,0.104113,5.51704,0.0485444
75,14.9197,0.103046,5.5165,0.0479045
76,14.9216,0.101715,5.51497,0.047303
77,14.9329,0.101042,5.5159,0.0467019
78,14.9155,0.101271,5.51704,0.0461209
79,14.9175,0.100018,5.51013,0.0460621
80,14.9007,0.100199,5.51338,0.0456061
81,14.8862,0.100024,5.52078,0.0456507
82,14.8964,0.0993357,5.51351,0.0456804
83,14.8988,0.0981749,5.5153,0.0451689
84,14.904,0.0971565,5.50943,0.0450183
85,14.8851,0.0978736,5.51646,0.0450434
86,14.8993,0.0977853,5.51427,0.0445766
87,14.904,0.0967799,5.5105,0.0442277
88,14.8993,0.0958028,5.50845,0.0437761
89,14.9135,0.0957968,5.5088,0.0432884
90,14.9059,0.0950447,5.51087,0.0428601
91,14.9203,0.0951045,5.50783,0.0425006
92,14.9184,0.094095,5.50612,0.0420758
93,14.917,0.093099,5.5054,0.0416321
94,14.914,0.0921636,5.50109,0.0414164
95,14.9272,0.0921533,5.48934,0.0426322
96,14.9271,0.0911985,5.48961,0.0421913
97,14.9356,0.0906654,5.47911,0.0430586
98,14.948,0.0905931,5.46969,0.0436502
99,14.9406,0.0899808,5.46814,0.0432394
